snname,index,targetid,tileid,petal,night,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zwarn,chi2,deltachi2,spectype,subtype
ZTF18aaxavsk,2,39633470485431109,20031,8,20210629,264.576637288426,67.8567476276409,0.0,0.0,0.0,False,north,264.583467915385,67.8494710846154,0.08,SNe_Ia/RCF/ZTFmarshal,5.0,SN2018ccn,None,None,SN2018ccn,0.0782641908622411,3.2476112968495e-06,0.0,12236.1153621674,5711.32894420624,GALAXY,
ZTF18aaxdrjn,1,39633339048526404,81069,0,20210401,185.006291667,56.1629166667,0.0,0.0,0.0,False,north,185.00686477,56.1588675175,0.0339,SNe_Ia/RCF/ZTFmarshal,5.0,SN2018cdt,None,None,SN2018cdt,0.0338902526843996,8.42682068943415e-06,0.0,38003.8584515285,48803.5711579942,GALAXY,
ZTF18aaxopwa,1,39628502470756797,20245,7,20210619,241.604458333,31.0051111111,0.0,0.0,0.0,False,north,241.6027758,31.0049083,0.03048,ZTFmarshal,1.0,AT2018lrn,None,None,AT2018lrn,0.0309749483244615,2.25447341269129e-06,0.0,10604.2960668802,9345.1215184927,GALAXY,
ZTF18aaydmkh,1,39633279413912316,20790,0,20210629,260.16089593913,52.0419005480514,0.0,0.0,0.0,False,north,260.161096713333,52.04195232,0.08,SNe_Ia/RCF/ZTFmarshal,5.0,SN2018coh,None,None,SN2018coh,0.0843513598243681,6.24017138656343e-06,0.0,12271.9428532124,4671.98858904839,GALAXY,
ZTF18aayjflv,1,39633304227414823,81068,3,20210401,181.339156484966,53.7774282324218,0.0,0.0,0.0,False,north,181.3391719,53.7774193307692,0.0497,SNe_Ia/RCF,3.0,AT2018hvt,None,None,AT2018hvt,0.0498001251657403,1.397784725053e-05,0.0,9972.84350701235,4430.38098053075,GALAXY,
ZTF18aayjvve,1,39632996281618405,20007,7,20210617,226.065458333,35.8166944444,0.0,0.0,0.0,False,north,226.069168118182,35.815037239394,0.0473,SNe_Ia/RCF/ZTFmarshal,5.0,SN2018cny,None,None,SN2018cny,0.047302282234349,5.42251019129841e-06,0.0,16661.3935108036,5517.20695711672,GALAXY,
ZTF18aaytovs,1,39628518321036444,20914,7,20210515,266.479579900868,31.7058598649223,0.0,0.0,0.0,False,north,266.4724834375,31.7105244625,0.0746,SNe_Ia/RCF/ZTFmarshal,5.0,SN2018crk,None,None,SN2018crk,0.197413495573278,4.19734445484639e-05,0.0,8438.69729139283,716.98364113085,GALAXY,
ZTF18abacbha,1,39633369222350443,20001,3,20210613,268.23496312485,58.4530021862934,0.0,0.0,0.0,False,north,268.245853157143,58.4568445428571,-9999.0,SNe_Ia,5.0,None,None,None,ZTF18abacbha,-0.00199569129234795,4.13114935733491e-48,1570.0,9e+99,1.94266889222573e+84,STAR,CV
ZTF18abaelhi,1,39627938995373256,20121,0,20210605,207.201583333,6.35222222222,0.0,0.0,0.0,False,south,207.19921,6.35523,0.02253,RCF/ZTFmarshal,5.0,SN2018ctr,None,None,SN2018ctr,0.022489193046803,4.26066672055056e-06,0.0,8934.94163000211,1859.40198338404,GALAXY,
ZTF18abalzzd,1,39628486494653047,21197,9,20210607,216.812807225083,30.3657204009955,0.0,0.0,0.0,False,north,216.812818341176,30.3653634823529,-9999.0,SNe_Ia/RCF,5.0,AT2018cyj,None,None,AT2018cyj,0.11579239428344,7.31693393203713e-06,0.0,9023.68720793724,483.676327466965,GALAXY,
ZTF18abamjcq,1,39632961909296160,390,8,20210409,253.640891684225,34.0659084139313,0.0,0.0,0.0,False,north,253.640381217647,34.0667227823529,-9999.0,SNe_Ia,5.0,None,None,None,ZTF18abamjcq,0.0999565026622085,3.70820245174633e-05,0.0,9544.3537775008,1740.14830961544,GALAXY,
ZTF18abanftq,1,39632971812048689,20750,3,20210521,246.199086208401,34.3914874000832,0.0,0.0,0.0,False,north,246.199102324658,34.3914632753425,-9999.0,SNe_Ia,3.0,AT2018ljt,None,None,AT2018ljt,0.150271677025647,8.08790990640354e-06,0.0,25312.2811384201,45831.6541519165,QSO,
ZTF18abavmwy,1,39633286397429863,177,8,20210416,217.905823387952,52.4674942648946,0.0,0.0,0.0,False,north,217.907415981818,52.4667516909091,-9999.0,SNe_Ia,5.0,None,None,None,ZTF18abavmwy,0.128823940135387,2.52049796397625e-05,0.0,8975.76128323376,1786.09328942001,GALAXY,
ZTF18abavmwy,1,39633286397429863,20788,5,20210618,217.905823387952,52.4674942648946,0.0,0.0,0.0,False,north,217.907415981818,52.4667516909091,-9999.0,SNe_Ia,5.0,None,None,None,ZTF18abavmwy,0.128849988244767,1.67368469788068e-05,0.0,11467.6965624541,4446.73971396827,GALAXY,
ZTF18abbpvhl,1,39628428646812444,20249,5,20210628,244.303135200295,27.4144007543383,0.0,0.0,0.0,False,south,244.302681186667,27.41540088,-9999.0,SNe_Ia,5.0,None,None,None,ZTF18abbpvhl,0.110919185276901,8.13613387678844e-06,0.0,10619.1579730213,4575.45846304297,GALAXY,
ZTF18abbpxik,1,39627981378814768,20224,1,20210617,230.707333333,8.08166666667,0.0,0.0,0.0,False,south,230.70968,8.08031,0.0324,RCF/IIps/ZTFmarshal,5.0,SN2018cqp,None,None,SN2018cqp,0.0327996119305115,3.21719723042243e-06,0.0,13563.6893272996,12963.7464703918,GALAXY,
ZTF18abbvlta,1,39633191857818616,21190,8,20210522,204.548801036148,46.4041849855305,0.0,0.0,0.0,False,north,204.5493217875,46.4046156125,-9999.0,SNe_Ia,5.0,None,None,None,ZTF18abbvlta,0.109050918663258,6.76637583338984e-06,0.0,12006.913013041,2520.99753254652,GALAXY,
ZTF18abcezmh,1,39633078045381531,20889,5,20210618,269.451492026144,40.0765776210328,0.0,0.0,0.0,False,north,269.451876825,40.0763898,0.057,SNe_Ia/RCF/ZTFmarshal,5.0,SN2018cyh,None,None,SN2018cyh,0.0572283455203148,2.28866525699683e-06,0.0,11494.1671645641,9134.06128502404,GALAXY,
ZTF18abciugv,1,39628523199005937,20789,6,20210619,248.010302779528,32.0609180288709,0.0,0.0,0.0,False,north,248.0102965,32.0609512,0.0592,ZTFmarshal,1.0,None,None,None,ZTF18abciugv,0.0589232789262141,4.74059755139422e-06,0.0,41169.5690568388,38792.4433604777,QSO,
