snname,index,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zdisp
09awt,1,236.767663916617,40.6878268897613,0.0,0.0,0.0,False,north,236.761734,40.689086,0.185,PTF-iPTF,1.0,None,None,PTF09awt,PTF09awt,,,
09awt,2,236.782647435602,40.6882658289655,0.0,0.0,0.0,False,north,236.761734,40.689086,0.185,PTF-iPTF,1.0,None,None,PTF09awt,PTF09awt,,,
09awx,1,207.188075952465,37.4346292047602,0.0,0.0,0.0,False,north,207.18712,37.434691,0.1265,PTF-iPTF,1.0,None,None,PTF09awx,PTF09awx,,,
09axg,1,230.87926557809,14.1820991633997,0.0,0.0,0.0,False,south,230.879191,14.182134,0.18,PTF-iPTF,1.0,None,None,PTF09axg,PTF09axg,,,
09axg,2,230.890446903039,14.1814365287506,0.0,0.0,0.0,False,south,230.879191,14.182134,0.18,PTF-iPTF,1.0,None,None,PTF09axg,PTF09axg,,,
09axi,1,213.170624684243,31.067574013379,0.0,0.0,0.0,False,north,213.170096,31.067592,0.064,PTF-iPTF,1.0,None,None,PTF09axi,PTF09axi,,,
09azf,1,247.4373,40.81164,0.0,0.0,0.0,False,north,247.433446,40.811411,0.0293,PTF-iPTF,1.0,None,None,PTF09azf,PTF09azf,,,
09azm,1,231.963703825543,41.1432754669771,0.0,0.0,0.0,False,north,231.963728,41.143246,0.2,PTF-iPTF,1.0,None,None,PTF09azm,PTF09azm,,,
09azm,2,231.950703784334,41.141492707494,0.0,0.0,0.0,False,north,231.963728,41.143246,0.2,PTF-iPTF,1.0,None,None,PTF09azm,PTF09azm,,,
09azu,1,199.687765694223,40.735955345212,0.0,0.0,0.0,False,north,199.688118,40.735395,0.114,PTF-iPTF,1.0,None,None,PTF09azu,PTF09azu,,,
09azv,1,223.088819834452,46.7301917982686,0.0,0.0,0.0,False,north,223.089145,46.730572,0.13,PTF-iPTF,1.0,None,None,PTF09azv,PTF09azv,,,
09azv,2,223.097651477689,46.7292957757986,0.0,0.0,0.0,False,north,223.089145,46.730572,0.13,PTF-iPTF,1.0,None,None,PTF09azv,PTF09azv,,,
09bad,1,244.00312975798,56.3465276018713,0.0,0.0,0.0,False,north,244.003121,56.346632,0.1385,PTF-iPTF,1.0,None,None,PTF09bad,PTF09bad,,,
