snname,index,targetid,tileid,petal,night,ra,dec,pmra,pmdec,ref_epoch,override,hemisphere,sn_ra,sn_dec,sn_z,program,priority,tns_name,iau_name,ptfiptf_name,spname,z,zerr,zwarn,chi2,deltachi2,spectype,subtype
10bhw,1,39627999015865113,20122,0,20210612,212.47817513374,8.84870318268339,0.0,0.0,0.0,False,south,212.479712,8.849363,0.11,PTF-iPTF,1.0,None,None,PTF10bhw,PTF10bhw,0.108146773453004,2.66223646278065e-05,0.0,9335.01696087979,1964.45451723575,GALAXY,
10bjg,1,39633199583726627,21949,2,20220317,154.392548583706,46.9326930319234,0.0,0.0,0.0,False,north,154.392902,46.932662,0.17,PTF-iPTF,1.0,None,None,PTF10bjg,PTF10bjg,0.17454597268961,7.49632257566743e-06,0.0,6947.14128482342,627.355364203453,GALAXY,
10bmr,1,39627679632196564,20083,8,20210518,212.874778777415,-4.5462690163964,0.0,0.0,0.0,False,south,212.873488,-4.546522,0.1447,PTF-iPTF,1.0,None,None,PTF10bmr,PTF10bmr,0.144247967357502,1.45169396292318e-05,0.0,11169.6155175865,889.439907646738,GALAXY,
10bxs,1,39632930296824489,20332,7,20220221,164.684453386064,32.4522221449376,0.0,0.0,0.0,False,north,164.685279,32.452411,0.072,PTF-iPTF,1.0,None,None,PTF10bxs,PTF10bxs,0.072618257425291,7.66521245151801e-06,0.0,8659.87484261394,3110.83792674453,GALAXY,
10bzf,1,39633332178260069,81058,2,20210324,176.01244093086,55.6895536122963,0.0,0.0,0.0,False,north,176.012451,55.69101,0.0498,PTF-iPTF,1.0,None,None,PTF10bzf,PTF10bzf,0.0499262318746316,5.75465225605996e-06,0.0,8518.5171200335,849.018080562353,GALAXY,
10cod,2,39627746233553616,21665,9,20220304,225.673017622901,-1.71960989351147,0.0,0.0,0.0,False,south,225.676528,-1.709486,0.12,PTF-iPTF,1.0,None,None,PTF10cod,PTF10cod,0.116037879693926,6.97434903327645e-06,0.0,10695.3600559235,5047.53576636314,GALAXY,
10con,1,39627812960734838,25139,3,20220308,242.913644740196,0.876534437687308,0.0,0.0,0.0,False,south,242.912871,0.875908,0.033,PTF-iPTF,1.0,None,None,PTF10con,PTF10con,0.0330420994557355,4.36059909383769e-06,0.0,8507.7989134267,2666.85028020216,GALAXY,
10ctd,1,39627835551257442,16,3,20210417,149.478217907794,2.11980992742847,0.0,0.0,0.0,False,north,149.478442,2.1198,0.1255,PTF-iPTF,1.0,None,None,PTF10ctd,PTF10ctd,-0.00199570145091582,4.13115987161332e-48,1570.0,9e+99,1.94266889222573e+84,STAR,CV
10ctd,1,39627835551257442,17,2,20210429,149.478217907794,2.11980992742847,0.0,0.0,0.0,False,north,149.478442,2.1198,0.1255,PTF-iPTF,1.0,None,None,PTF10ctd,PTF10ctd,0.125298423061223,1.58419147369131e-05,0.0,9677.03056180477,3349.70524532504,GALAXY,
10ctd,1,39627835551257442,21,3,20210503,149.478217907794,2.11980992742847,0.0,0.0,0.0,False,north,149.478442,2.1198,0.1255,PTF-iPTF,1.0,None,None,PTF10ctd,PTF10ctd,0.125332089487468,1.72593787140068e-05,0.0,10424.7230099589,3266.98467849195,GALAXY,
